Enqueued 16 events.
Enqueued events:
Event 0: send_time=16, recv_time=9383, data=16, sender_id=2, receiver_id=1, is_anti_message=0
Event 1: send_time=17, recv_time=6915, data=17, sender_id=1, receiver_id=3, is_anti_message=0
Event 2: send_time=18, recv_time=5386, data=18, sender_id=0, receiver_id=1, is_anti_message=0
Event 3: send_time=19, recv_time=1421, data=19, sender_id=2, receiver_id=3, is_anti_message=0
Event 4: send_time=20, recv_time=8690, data=20, sender_id=3, receiver_id=3, is_anti_message=0
Event 5: send_time=21, recv_time=3926, data=21, sender_id=0, receiver_id=2, is_anti_message=0
Event 6: send_time=22, recv_time=9172, data=22, sender_id=0, receiver_id=3, is_anti_message=0
Event 7: send_time=23, recv_time=5368, data=23, sender_id=3, receiver_id=1, is_anti_message=0
Event 8: send_time=24, recv_time=5782, data=24, sender_id=2, receiver_id=2, is_anti_message=0
Event 9: send_time=25, recv_time=5123, data=25, sender_id=3, receiver_id=3, is_anti_message=0
Event 10: send_time=26, recv_time=3929, data=26, sender_id=2, receiver_id=2, is_anti_message=0
Event 11: send_time=27, recv_time=3058, data=27, sender_id=1, receiver_id=3, is_anti_message=0
Event 12: send_time=28, recv_time=1393, data=28, sender_id=0, receiver_id=3, is_anti_message=0
Event 13: send_time=29, recv_time=8042, data=29, sender_id=1, receiver_id=1, is_anti_message=0
Event 14: send_time=30, recv_time=4421, data=30, sender_id=3, receiver_id=0, is_anti_message=0
Event 15: send_time=31, recv_time=8537, data=31, sender_id=2, receiver_id=0, is_anti_message=0

Issued 16 events.
Issued events:
Event 0: send_time=28, recv_time=1393, data=28, sender_id=0, receiver_id=3, is_anti_message=0
Event 1: send_time=19, recv_time=1421, data=19, sender_id=2, receiver_id=3, is_anti_message=0
Event 2: send_time=27, recv_time=3058, data=27, sender_id=1, receiver_id=3, is_anti_message=0
Event 3: send_time=21, recv_time=3926, data=21, sender_id=0, receiver_id=2, is_anti_message=0
Event 4: send_time=26, recv_time=3929, data=26, sender_id=2, receiver_id=2, is_anti_message=0
Event 5: send_time=30, recv_time=4421, data=30, sender_id=3, receiver_id=0, is_anti_message=0
Event 6: send_time=25, recv_time=5123, data=25, sender_id=3, receiver_id=3, is_anti_message=0
Event 7: send_time=23, recv_time=5368, data=23, sender_id=3, receiver_id=1, is_anti_message=0
Event 8: send_time=18, recv_time=5386, data=18, sender_id=0, receiver_id=1, is_anti_message=0
Event 9: send_time=24, recv_time=5782, data=24, sender_id=2, receiver_id=2, is_anti_message=0
Event 10: send_time=17, recv_time=6915, data=17, sender_id=1, receiver_id=3, is_anti_message=0
Event 11: send_time=29, recv_time=8042, data=29, sender_id=1, receiver_id=1, is_anti_message=0
Event 12: send_time=31, recv_time=8537, data=31, sender_id=2, receiver_id=0, is_anti_message=0
Event 13: send_time=20, recv_time=8690, data=20, sender_id=3, receiver_id=3, is_anti_message=0
Event 14: send_time=22, recv_time=9172, data=22, sender_id=0, receiver_id=3, is_anti_message=0
Event 15: send_time=16, recv_time=9383, data=16, sender_id=2, receiver_id=1, is_anti_message=0

Enqueued 16 events.
Enqueued events:
Event 0: send_time=32, recv_time=8315, data=32, sender_id=2, receiver_id=1, is_anti_message=0
Event 1: send_time=33, recv_time=3526, data=33, sender_id=3, receiver_id=0, is_anti_message=0
Event 2: send_time=34, recv_time=9956, data=34, sender_id=1, receiver_id=2, is_anti_message=0
Event 3: send_time=35, recv_time=9170, data=35, sender_id=0, receiver_id=1, is_anti_message=0
Event 4: send_time=36, recv_time=2305, data=36, sender_id=1, receiver_id=0, is_anti_message=0
Event 5: send_time=37, recv_time=6327, data=37, sender_id=0, receiver_id=1, is_anti_message=0
Event 6: send_time=38, recv_time=846, data=38, sender_id=1, receiver_id=1, is_anti_message=0
Event 7: send_time=39, recv_time=5857, data=39, sender_id=0, receiver_id=3, is_anti_message=0
Event 8: send_time=40, recv_time=9582, data=40, sender_id=1, receiver_id=2, is_anti_message=0
Event 9: send_time=41, recv_time=3367, data=41, sender_id=2, receiver_id=0, is_anti_message=0
Event 10: send_time=42, recv_time=4043, data=42, sender_id=2, receiver_id=3, is_anti_message=0
Event 11: send_time=43, recv_time=6808, data=43, sender_id=0, receiver_id=2, is_anti_message=0
Event 12: send_time=44, recv_time=5788, data=44, sender_id=0, receiver_id=3, is_anti_message=0
Event 13: send_time=45, recv_time=2651, data=45, sender_id=2, receiver_id=3, is_anti_message=0
Event 14: send_time=46, recv_time=9932, data=46, sender_id=0, receiver_id=0, is_anti_message=0
Event 15: send_time=47, recv_time=3368, data=47, sender_id=3, receiver_id=0, is_anti_message=0

